incident_id,incident_type,severity,confidence,involved_users,involved_assets,involved_alerts,tactic_chain,technique_chain,first_seen,last_seen,status,blast_radius_score,recommended_owner,recommended_response,triage_priority
incident_00001,impossible_travel_login,high,0.92,user_0002,endpoint_0002,alert_00001,Initial Access,Valid Accounts,2026-01-02T02:40:00+00:00,2026-01-02T02:40:00+00:00,open,85,SOC Tier 2,Disable session and verify user travel.,P2
incident_00002,password_spray_attack,high,0.92,user_0003,endpoint_0003,alert_00002,Credential Access,Password Spraying,2026-01-02T02:41:00+00:00,2026-01-02T02:41:00+00:00,open,85,SOC Tier 2,Block source pattern and reset targeted passwords.,P2
incident_00003,brute_force_against_privileged_user,critical,0.92,user_0004,endpoint_0004,alert_00003,Credential Access,Brute Force,2026-01-02T02:42:00+00:00,2026-01-02T02:42:00+00:00,open,100,SOC Tier 2,Lock privileged account and rotate credentials.,P1
incident_00004,suspicious_mfa_fatigue,high,0.92,user_0005,endpoint_0005,alert_00004,Credential Access,MFA Fatigue,2026-01-02T02:43:00+00:00,2026-01-02T02:43:00+00:00,open,85,SOC Tier 2,Revoke sessions and require phishing-resistant MFA.,P2
incident_00005,privilege_escalation_cloud_role,critical,0.92,user_0006,endpoint_0006,alert_00005,Privilege Escalation,Cloud Role Modification,2026-01-02T02:44:00+00:00,2026-01-02T02:44:00+00:00,open,100,SOC Tier 2,Revert role change and review cloud audit trail.,P1
incident_00006,suspicious_service_account_access,high,0.92,user_0007,endpoint_0007,alert_00006,Defense Evasion,Service Account Abuse,2026-01-02T02:45:00+00:00,2026-01-02T02:45:00+00:00,open,85,SOC Tier 2,Rotate service account key and validate workload identity.,P2
incident_00007,data_exfiltration_large_download,critical,0.92,user_0008,endpoint_0008,alert_00007,Exfiltration,Exfiltration Over Web Service,2026-01-02T02:46:00+00:00,2026-01-02T02:46:00+00:00,open,100,SOC Tier 2,Contain data system and inspect transfer path.,P1
incident_00008,suspicious_oauth_consent,medium,0.82,user_0009,endpoint_0009,alert_00008,Persistence,OAuth Consent Grant,2026-01-02T02:47:00+00:00,2026-01-02T02:47:00+00:00,open,60,SOC Tier 1,Revoke OAuth grant and review app permissions.,P3
incident_00009,phishing_email_click,high,0.92,user_0010,endpoint_0010,alert_00009,Initial Access,Phishing,2026-01-02T02:48:00+00:00,2026-01-02T02:48:00+00:00,open,85,SOC Tier 2,Quarantine message and reset clicked user session.,P2
incident_00010,endpoint_malware_execution,critical,0.92,user_0011,endpoint_0011,alert_00010,Execution,Command and Scripting Interpreter,2026-01-02T02:49:00+00:00,2026-01-02T02:49:00+00:00,open,100,SOC Tier 2,Isolate endpoint and collect process evidence.,P1
incident_00011,ransomware_precursor_behavior,critical,0.92,user_0012,endpoint_0012,alert_00011,Impact,Data Encrypted for Impact,2026-01-02T02:50:00+00:00,2026-01-02T02:50:00+00:00,open,100,SOC Tier 2,Isolate endpoint and suspend file share access.,P1
incident_00012,dns_beaconing,high,0.92,user_0013,endpoint_0013,alert_00012,Command and Control,Application Layer Protocol,2026-01-02T02:51:00+00:00,2026-01-02T02:51:00+00:00,open,85,SOC Tier 2,Block domain and inspect endpoint.,P2
incident_00013,ai_prompt_injection_attempt,high,0.92,user_0014,endpoint_0014,alert_00013,Defense Evasion,Prompt Injection,2026-01-02T02:52:00+00:00,2026-01-02T02:52:00+00:00,open,85,SOC Tier 2,Block tool call and create AI app incident.,P2
incident_00014,ai_sensitive_data_request,high,0.92,user_0015,endpoint_0015,alert_00014,Collection,Data from Information Repositories,2026-01-02T02:53:00+00:00,2026-01-02T02:53:00+00:00,open,85,SOC Tier 2,Deny response and review data access policy.,P2
incident_00015,insider_sensitive_data_access,critical,0.92,user_0016,endpoint_0016,alert_00015,Collection,Data from Local System,2026-01-02T02:54:00+00:00,2026-01-02T02:54:00+00:00,open,100,SOC Tier 2,Escalate to insider risk team.,P1
incident_00016,cloud_key_exposure,critical,0.92,user_0017,endpoint_0017,alert_00016,Credential Access,Unsecured Credentials,2026-01-02T02:55:00+00:00,2026-01-02T02:55:00+00:00,open,100,SOC Tier 2,Revoke key and rotate affected secrets.,P1
incident_00017,lateral_movement_sequence,critical,0.92,user_0018,endpoint_0018,alert_00017,Lateral Movement,Remote Services,2026-01-02T02:56:00+00:00,2026-01-02T02:56:00+00:00,open,100,SOC Tier 2,Isolate hosts and disable lateral credentials.,P1
incident_00018,c2_network_pattern,high,0.92,user_0019,endpoint_0019,alert_00018,Command and Control,Non-Standard Port,2026-01-02T02:57:00+00:00,2026-01-02T02:57:00+00:00,open,85,SOC Tier 2,Block destination and inspect host.,P2
incident_00019,mass_file_sharing_public_link,high,0.92,user_0020,endpoint_0020,alert_00019,Exfiltration,Cloud Storage Object Discovery,2026-01-02T02:58:00+00:00,2026-01-02T02:58:00+00:00,open,85,SOC Tier 2,Remove public links and review SaaS sharing.,P2
incident_00020,dormant_account_reactivation,medium,0.82,user_0021,endpoint_0021,alert_00020,Initial Access,Dormant Account,2026-01-02T02:59:00+00:00,2026-01-02T02:59:00+00:00,open,60,SOC Tier 1,Disable dormant account pending owner review.,P3
